Accession,Ratio 2h,Ratio 6h,Ratio 10h ,Ratio 24h,P value 2h,P value 6h,P value 10h,P value 24h
P42704,-0.637233470745347,0.221589174909187,-0.52155693900572,-0.740174160630945,0.043656910137674,0.306493634910273,0.032804912618982,0.048234846724256
P09211,-0.065279773893166,-0.180479879944792,-0.176001924700086,-1.1411638130277,0.88629858470793,0.655137912855311,0.642869923121401,0.040064518170548
P27487,-0.008530044879346,-0.145376621603545,-0.323635782068225,-2.82349031820688,0.860994185864127,0.029503885102233,0.004288166839629,2.03014808247503E-05
P11142,0.073006130252778,-0.027226145521378,-0.436303715591803,-0.000232880239473,0.886879418169318,0.90472590736388,0.053035974026958,0.999647924617024
P29966,0.082165370677411,-0.149579019602047,-0.541322363266402,-1.14604178725179,0.882004709682935,0.717877983532221,0.268981750758375,0.106856719076175
Q08380,-0.012799441769309,0.02508436733366,-0.259621086485649,-0.887928740352428,0.824130862282194,0.79739804459928,0.017831743061218,0.004851179463713
P10412,-0.469419536536822,-0.458986178809701,-0.162007419626306,-2.5805646494558,0.006777176927409,0.086186248585752,0.480858183838514,8.04124313062438E-05
P07602,-0.198473843514069,-0.400003753833542,-0.746539941439361,-1.88366316985835,0.471834821265129,0.011493192800818,0.004285324021353,0.004546736894115
P23246,-0.075056958012895,-0.011192110747542,-0.001142208907653,0.202191104949881,0.621055442360356,0.950257556776028,0.995255650474085,0.630673717239293
O60701,-0.053486442875556,-0.197340150079362,-0.642325309948171,-1.71241046507559,0.690278684308315,0.151456036661234,0.074595312301728,0.018798451154044
P15924,0.113259848665815,-0.033089552180879,-0.327282813758185,-1.74891653766821,0.09678529303076,0.832712957890256,0.174178310158451,0.002396133038834
P46782,0.168671044108004,-0.220474687003804,0.126161930110082,0.134792828251762,0.419953927068932,0.053422709399833,0.427696471710574,0.55583706708239
P07858,-0.091294158699536,0.019517973024588,-0.172992513275629,-2.36622937893752,0.122143213942919,0.739093508615269,0.077104263565707,3.75027027152151E-06
P42766,-0.279516575607277,-0.167936006414256,-0.230861305518857,-2.27557879779921,0.146917131585882,0.277564479914925,0.015607942680919,8.94026080033325E-05
P00338,0.35997776125119,0.084312552210918,-0.160046836441044,-0.825852148922798,0.308557227379251,0.793186082441217,0.438388453284201,0.006065870078662
P02786,-0.13903965848532,-0.087521656487444,-0.942971519018549,-2.90994254280349,0.826616820609845,0.843583937867729,0.088838948277048,0.007258551992229
Q15084,-0.108205854383005,0.111836667961787,-1.05852418709531,-0.972016142258511,0.776755174419633,0.780880065014228,0.061986455287327,0.16678222060801
P52272,0.059745362647554,-0.035621673941189,-0.368709559887328,-0.283518505831315,0.754037067556046,0.928236465408416,0.310404224859201,0.345571579278527
Q9UQN3,-0.07852007126166,-0.077533033013982,-0.257920985686196,-1.43086693952085,0.705899872462427,0.568908007965575,0.024926629060953,0.001181266714753
P09651,-0.028891006551789,-0.130290960007444,-0.448019566617166,0.523079022571553,0.966973690467178,0.840696901934413,0.465146505310523,0.65011859678467
P40926,0.10291061102052,0.00034777022596,-0.27358883943081,-1.40539746738212,0.67721094469771,0.999283932039303,0.352162119336015,0.001204651542825
P55061,-0.181952582850565,-0.349543969310378,-0.545087245603185,-3.06267261695337,0.27098720026852,0.034087099705772,0.005777396220674,0.000168949522107
P42765,0.008129964503532,-0.219236458739266,-0.4256395409206,-1.88826609142569,0.943842675464956,0.09813699495463,0.010247301057312,0.000267836168267
