UniProt ID	Drug ID
Q96I99	DB00139
O00555	DB00661
O95479	DB00157
P63098	DB08231
Q9UM73	DB00171
P08319	DB00157
O95907	DB00119
Q9Y2Z4	DB00135
P00740	DB00025
Q05586	DB00142
P51970	DB00157
P43116	DB00770
P35968	DB00398
Q969G6	DB00140
P54368	DB00129
Q14749	DB00118
Q9UKG9	DB00583
Q06203	DB00130
P48029	DB00148
O95139	DB00157
Q16836	DB00157
Q99259	DB00114
P49069	DB00091
P04070	DB00170
P47869	DB00231
Q02127	DB01097
P00505	DB00114
P25103	DB00193
P48551	DB00008
O15375	DB00119
P23945	DB00032
Q9GZT4	DB00114
P21917	DB00246
P60880	DB00083
P54802	DB00141
Q16719	DB00114
P41595	DB00216
P08246	DB00058
Q8TE23	DB00168
O15399	DB00142
P26440	DB03147
P02794	DB00893
P00325	DB00157
O95182	DB00157
P32238	DB00403
P38435	DB00036
P11926	DB00114
P08173	DB00246
P50416	DB00583
Q00266	DB00118
P51659	DB00157
P13196	DB00114
P17540	DB00148
Q9GZZ6	DB00184
P19793	DB00132
O75311	DB00145
O15554	DB00228
Q14626	DB00038
Q13224	DB00142
P0DP23	DB00477
P55017	DB00436
P41143	DB00193
Q02928	DB00157
P04083	DB00288
Q9UN76	DB00172
P04181	DB00114
P00338	DB00157
P22303	DB00122
O95178	DB00157
P31749	DB00171
Q13936	DB00270
P30988	DB00017
P23415	DB00145
P10398	DB00171
P42684	DB00171
Q14432	DB00235
Q96Q40	DB00171
P17516	DB00157
P08514	DB00054
O60669	DB00119
O15269	DB00114
P35367	DB00215
O15528	DB01436
P29466	DB00945
Q96RQ3	DB00121
P43353	DB00157
Q13183	DB00139
Q96A70	DB00114
O15427	DB00119
Q9UIC8	DB00149
P28223	DB00246
P30872	DB00104
P10721	DB00398
Q14957	DB00142
P32754	DB00348
Q96EY8	DB00200
P22413	DB00811
P37023	DB00171
P30939	DB00216
Q9H252	DB00308
O95665	DB01106
P00326	DB00157
P38484	DB00033
O60706	DB00171
P31644	DB00231
Q96P88	DB00644
Q16718	DB00157
P43119	DB00374
P28566	DB00216
Q16739	DB00419
P48169	DB00231
P30837	DB00157
P43007	DB00160
Q03154	DB00128
Q8IYQ7	DB00114
O43497	DB00347
P30049	DB00228
P49821	DB00157
P23975	DB00182
Q07343	DB00131
P15382	DB04957
P16473	DB00024
P41252	DB00167
P05165	DB00121
P28331	DB00157
Q9Y5K3	DB00122
P51172	DB00384
P43155	DB00583
P51170	DB00384
P01130	DB00707
O43181	DB00157
P35348	DB00211
Q13621	DB00214
P03886	DB00157
P07202	DB00389
P41180	DB00127
P02787	DB00515
P04626	DB00072
P17568	DB00157
O94788	DB00157
P48039	DB00980
P20701	DB00095
P54687	DB00114
O75600	DB00114
P28329	DB00184
P04424	DB00125
P25101	DB00559
P40394	DB00157
P34903	DB00231
Q9P0J0	DB00157
Q15274	DB00627
P47871	DB00040
Q12797	DB00128
P17174	DB00114
P02768	DB00276
O14646	DB00445
P28335	DB00193
O60391	DB00142
P22748	DB00232
Q7Z2H8	DB00160
P05543	DB09130
P02671	DB00009
P18405	DB00367
P09417	DB00157
Q86Y39	DB00157
P04406	DB00157
P05166	DB00121
O14561	DB00157
P09884	DB00242
P22891	DB00170
O43678	DB00157
P03905	DB00157
P15428	DB00157
Q12791	DB00356
P00352	DB00157
P16066	DB00325
P06401	DB00294
O43837	DB00157
P08172	DB00202
Q9NSD9	DB00120
P52569	DB00123
P14778	DB00026
Q9NWM0	DB00127
Q14353	DB00148
Q04609	DB00089
Q16878	DB00151
Q92781	DB00157
P08559	DB00157
P18089	DB00246
P45954	DB00167
P04035	DB00157
P35368	DB00211
Q14534	DB00735
Q92506	DB00157
O43772	DB00583
P03915	DB00157
P35462	DB00246
Q7RTX0	DB00168
P47895	DB00157
P31213	DB00548
Q08426	DB00157
P30519	DB00157
P40925	DB00157
P13612	DB00108
P42330	DB00157
Q8NBN7	DB00162
P30043	DB00140
Q9Y6M9	DB00157
P06126	DB00098
P12235	DB00171
P51648	DB00157
Q9UP95	DB00761
Q05329	DB00142
Q9Y617	DB00114
P48163	DB00157
Q9UKU7	DB01675
P48507	DB00142
O43776	DB00174
O95865	DB00155
P29803	DB00157
P43088	DB00287
Q8WWT9	DB00139
O60294	DB00149
P07101	DB00120
P49585	DB00122
P01619	DB01593
P11586	DB00116
P23378	DB00114
P51164	DB05351
P52895	DB00157
P18031	DB01133
P12236	DB00720
Q02643	DB00010
Q13085	DB00121
Q9NP56	DB00651
P15509	DB00020
P68871	DB00893
Q9Y233	DB00975
P41145	DB00193
P15056	DB00398
Q8TDS4	DB00257
P30085	DB00441
P33121	DB00131
P42261	DB00142
Q8TCU5	DB00142
P08253	DB00786
P48048	DB00217
O60701	DB00157
Q01959	DB00182
P00390	DB00143
P34969	DB00216
P14784	DB00004
P41439	DB00158
P49788	DB00755
P19235	DB00012
P03891	DB00157
P19429	DB04513
P47712	DB00588
P01589	DB00004
P28221	DB00216
O15270	DB00114
P17181	DB00008
Q13630	DB00157
P10276	DB00210
P36896	DB00171
Q9NYX4	DB00363
P24298	DB00114
P08235	DB00393
P53985	DB00119
P00966	DB00125
P51787	DB01244
Q9UG56	DB00144
P20138	DB00056
Q16671	DB00171
O95169	DB00157
Q13131	DB00131
Q16515	DB00594
Q06432	DB00308
Q9Y257	DB00308
P16233	DB01083
O95167	DB00157
P04278	DB00179
P10827	DB00279
O14842	DB00159
P05230	DB00686
P54289	DB00230
P17735	DB00114
P14902	DB00435
P07550	DB00127
P62942	DB00337
Q8NFJ5	DB00755
P11498	DB00119
Q9NS40	DB00308
Q05932	DB00142
P49589	DB00151
O00763	DB00121
O95342	DB00171
P01375	DB00005
Q9Y271	DB00471
Q13946	DB00651
P48443	DB00210
Q14654	DB00222
P05141	DB00720
P12314	DB00002
P15260	DB00033
Q9BQB6	DB00170
P06732	DB00148
P25100	DB00211
Q14181	DB00851
Q03405	DB00009
P30838	DB00157
P06729	DB00092
O14556	DB00157
O15382	DB00114
P12268	DB00157
Q99884	DB00172
P02818	DB00170
P14868	DB00128
Q96NR8	DB00162
Q8N5Z0	DB00114
Q96C36	DB00157
O75306	DB00157
P15538	DB00648
P05023	DB00390
Q99707	DB00115
P09601	DB00157
P30536	DB00186
P09622	DB00157
Q15822	DB00184
P21817	DB00201
P12081	DB00117
P53004	DB00157
P11388	DB00218
P23416	DB00145
Q9NUB1	DB00131
P15121	DB00143
P21802	DB00039
P31645	DB00176
O43681	DB00171
P01178	DB00107
P19634	DB00594
P00439	DB00120
Q9UI09	DB00157
P49448	DB00142
P14416	DB00182
Q9H015	DB00583
P78540	DB00125
P21731	DB01207
Q12879	DB00142
P20839	DB00157
P16219	DB00157
Q9UBK8	DB00115
Q16445	DB00231
P51788	DB01046
O94760	DB00155
P00533	DB00002
Q9P2J5	DB00149
P35372	DB00193
P51553	DB00157
Q07912	DB00171
P47901	DB00035
O43741	DB00131
P05546	DB00407
P14324	DB00282
P22033	DB00115
O95470	DB00114
P11473	DB00136
P40926	DB00157
Q09470	DB00228
P40261	DB00627
P33527	DB00171
Q5T6L4	DB00128
Q9UHI5	DB00120
P32929	DB00114
Q92731	DB00255
Q99062	DB00019
P04150	DB00180
P14867	DB00231
P28222	DB00216
Q9UHC9	DB00973
P09488	DB00143
Q9Y2Q3	DB00143
Q16772	DB00143
P21266	DB00143
O15217	DB00143
Q03013	DB00143
Q7RTV2	DB00143
P09211	DB00143
P78417	DB00143
P07203	DB00143
P18283	DB00143
P30711	DB00143
O43708	DB00143
O75715	DB00143
P22352	DB00143
O95954	DB00114
P54886	DB00142
Q13255	DB00142
O94925	DB00142
Q13002	DB00142
Q16099	DB00142
Q16478	DB00142
P42262	DB00142
P48058	DB00142
P42263	DB00142
Q13003	DB00142
Q14833	DB00142
Q14831	DB00142
O00222	DB00142
P49019	DB00627
O43451	DB00284
P12931	DB01254
P06241	DB01254
P07947	DB01254
P29317	DB01254
P06239	DB01254
P30559	DB00107
Q93088	DB00134
P42081	DB00098
P33681	DB01281
Q01718	DB01284
P43681	DB00184
P17787	DB00184
P16234	DB00102
P07333	DB00619
P27487	DB01076
P01031	DB00028
O60664	DB01271
P43220	DB00040
P08069	DB00030
O60894	DB01278
O60895	DB01278
O60896	DB01278
O95180	DB00270
P11086	DB01752
P14770	DB00468
Q16568	DB00182
Q7Z4W1	DB02325
Q02750	DB02152
Q14289	DB01097
P05771	DB00163
P17812	DB00130
Q16850	DB01007
P10253	DB00284
P02741	DB03945
P37840	DB02709
Q9NSA0	DB00493
P29972	DB00819
Q9UKV0	DB00313
P22102	DB00642
P43004	DB00142
Q99584	DB00768
Q06520	DB01812
P16410	DB06186
O60427	DB00132
P19440	DB00143
Q00535	DB02052
P51692	DB01254
P26358	DB00721
P00749	DB00594
P10696	DB00848
O43526	DB00321
P22557	DB00114
P49747	DB01373
O95237	DB00162
O75015	DB00002
P20810	DB01373
P35558	DB01819
P30044	DB00995
P12724	DB01411
P35270	DB02637
P01023	DB00102
P51681	DB04835
P05451	DB03721
Q99519	DB00198
P08581	DB02152
P11217	DB00114
P62993	DB00061
P05231	DB01404
P61073	DB00452
P03956	DB00786
P10997	DB09130
P02652	DB01593
P28482	DB01064
P29274	DB00201
P02763	DB00276
P01574	DB02379
P50225	DB01812
P25116	DB00086
P08174	DB00446
P27169	DB01327
P52961	DB01854
O75891	DB00116
P02778	DB04487
Q9UKL6	DB02306
O60494	DB00200
P00156	DB04141
P07858	DB02108
P07339	DB00071
P98164	DB00013
P07225	DB00055
P01579	DB01250
P50406	DB00246
P02775	DB03635
P01189	DB00836
Q6W5P4	DB01159
P20333	DB00005
P34913	DB02029
P49888	DB01176
P01009	DB01593
P01133	DB00364
P24158	DB05161
P27986	DB01064
O75469	DB00163
P06730	DB01649
P16220	DB00131
P49327	DB01034
Q12882	DB02303
P10145	DB05434
Q04760	DB00143
Q9BZV2	DB00151
P52788	DB00127
O95831	DB03147
P45452	DB00786
P10646	DB00036
Q9Y5N1	DB00768
P05120	DB00013
P17936	DB00523
P11387	DB00762
P17405	DB00381
Q14416	DB05096
P13501	DB02322
P35568	DB08513
P04062	DB03106
P16860	DB01136
P29074	DB00630
P29460	DB02763
Q9BYF1	DB00608
O14732	DB01356
P01137	DB00070
P35222	DB03904
P32418	DB00132
P51580	DB01250
P56817	DB02378
O14756	DB00139
O14965	DB02482
Q99497	DB09130
Q7L0J3	DB01202
P02788	DB01811
P21462	DB00716
O60488	DB00159
P20594	DB01613
P41250	DB00145
Q9Y275	DB03316
Q9Y2Q0	DB00144
Q16853	DB00780
Q00987	DB01593
Q9Y6L6	DB01211
P31930	DB04141
P29965	DB06475
Q03181	DB00132
P47929	DB02379
P99999	DB01017
P08311	DB02360
P27824	DB00025
P13945	DB00368
P62937	DB00091
P09038	DB00364
Q13464	DB04707
P01042	DB01593
P46059	DB00415
Q16539	DB01254
P03951	DB00100
Q8NER1	DB00132
P63316	DB00831
P07359	DB01050
P06850	DB01285
P24385	DB00945
P48549	DB00289
P60568	DB00852
P48051	DB00898
P98160	DB00039
P08183	DB00171
P22830	DB02659
Q02817	DB01411
P21980	DB04315
P26951	DB00020
P23946	DB03297
P04629	DB00321
P05412	DB00210
O94956	DB01241
P04275	DB00025
Q96RJ0	DB00182
P11168	DB00428
P15502	DB00533
P13500	DB01055
P01584	DB00843
P43005	DB00128
P30793	DB02325
P35557	DB02379
P11166	DB02709
Q13231	DB02325
P01019	DB01593
P27361	DB00605
O60858	DB01497
P49841	DB01356
Q4U2R8	DB00493
Q9UNQ0	DB04851
P04004	DB00054
Q92887	DB00171
P61278	DB00847
Q06124	DB02779
P24941	DB01888
P16118	DB02393
P16581	DB01136
P05164	DB00244
P01112	DB02210
O60733	DB01103
P15144	DB00973
P59768	DB01159
Q15111	DB01103
P06493	DB02052
P80188	DB01631
P05362	DB00108
P19838	DB00852
P01374	DB00005
P00750	DB00513
P11413	DB03085
P23297	DB00768
P06870	DB01370
Q9UM07	DB00155
O95573	DB00159
P01138	DB01407
P17302	DB01136
P21589	DB00806
P53779	DB01782
P11021	DB00025
P48651	DB00144
P11137	DB01196
P15309	DB03390
P06881	DB04869
O43519	DB00619
P04156	DB00759
P35247	DB02379
P19367	DB02007
P63000	DB00993
Q16678	DB01645
P17213	DB04178
P16070	DB06550
P19320	DB00898
P43003	DB00142
P08254	DB00786
Q16873	DB00143
P02649	DB01593
P07900	DB00615
P14210	DB01109
O75762	DB00825
P16870	DB00030
Q08345	DB00619
P08697	DB08888
P01100	DB08813
Q13126	DB00173
P02776	DB00055
Q07837	DB00138
Q14500	DB00204
P17252	DB00144
P27815	DB00277
Q16348	DB00415
P36969	DB00143
P19438	DB03507
P00450	DB00055
P02774	DB11094
P53609	DB07227
Q15858	DB00281
P22061	DB01752
P16455	DB00151
P48745	DB00071
P16444	DB01597
P49366	DB03639
P48061	DB05934
P07204	DB00055
P29218	DB01356
P07686	DB00205
O14920	DB00244
P05106	DB00054
P98170	DB02628
P32239	DB00183
P16109	DB01109
Q9UNN8	DB00055
P42574	DB00945
O60603	DB00045
P14625	DB00615
O60760	DB00143
P45844	DB00171
P78559	DB01196
P07355	DB00031
Q9NR96	DB00608
P31751	DB07812
P00167	DB04009
P63104	DB12695
P07602	DB01966
P14410	DB00284
P04271	DB00768
P13726	DB00036
P30086	DB09130
P02751	DB01593
P03950	DB03088
P22894	DB00786
P14735	DB00071
P15559	DB00170
Q08257	DB00266
Q7Z2W7	DB00825
O15439	DB00171
P28161	DB00143
P61586	DB04315
P25815	DB01003
P41594	DB00659
O15530	DB00482
P13569	DB00171
P25942	DB06360
P08842	DB02292
P39900	DB00551
P06744	DB02007
P08100	DB01159
P22455	DB00039
Q99808	DB00197
P33316	DB03413
P80511	DB00768
P04040	DB01213
P05113	DB01411
P68400	DB00171
P02743	DB01593
Q96C86	DB01649
P23919	DB01643
Q13370	DB01427
P31939	DB00116
Q10588	DB02483
Q9P2W7	DB01694
O75874	DB01727
P04183	DB01692
P00568	DB01717
O00204	DB01812
Q08188	DB01864
P68363	DB01873
P11309	DB00131
Q9H4M7	DB01863
P08519	DB00513
Q06187	DB01254
Q08499	DB00131
Q9NP99	DB01694
Q9UN19	DB01863
P10153	DB01812
P43403	DB02010
P48736	DB02010
P43405	DB02010
Q9BWD1	DB01915
Q71U36	DB00518
Q08881	DB02010
P17931	DB01827
P41240	DB01254
Q9NY65	DB01873
P68371	DB00518
P49137	DB02010
P36959	DB01972
Q04759	DB02010
Q9BQE3	DB01873
P68366	DB00541
P30405	DB00091
P04350	DB01873
Q9UKM7	DB01955
Q13509	DB01873
P08631	DB01809
Q13748	DB01873
Q16222	DB02196
P17900	DB02261
P36873	DB02169
P48449	DB02016
P49773	DB00131
P20231	DB02018
Q9BZX2	DB02097
Q9UBX1	DB01810
Q00169	DB02144
Q9NPB1	DB02217
Q14376	DB01861
P09871	DB00002
P50579	DB00134
Q9Y663	DB01812
P46926	DB02379
P35030	DB02308
Q13426	DB03963
Q92876	DB03127
Q9Y678	DB03963
P55055	DB03791
Q9BY41	DB01592
P23677	DB01863
P06132	DB03727
P51512	DB00786
P14555	DB00328
P25774	DB03767
Q9Y286	DB03740
O43570	DB00562
Q9Y5Y6	DB00013
P52758	DB03793
P04745	DB02379
P09960	DB01197
P04075	DB01593
P23526	DB02325
P49789	DB02373
P00751	DB01593
P30305	DB03661
P51151	DB03793
P09874	DB00277
P07477	DB01665
P11310	DB02910
Q8WVQ1	DB03486
P42126	DB02910
P53355	DB04069
Q96RI1	DB00132
Q9HAN9	DB03227
Q15075	DB02942
P49759	DB04367
Q16775	DB00143
P55210	DB03384
Q96T66	DB02596
P00746	DB03058
P10114	DB04137
P36952	DB04530
P52732	DB03996
Q9NZD2	DB03017
P14174	DB01880
P37173	DB09462
O94766	DB03041
Q05315	DB02967
P24557	DB00795
P08238	DB02424
O60911	DB02869
P50613	DB02482
Q92947	DB03147
P34096	DB03448
P22749	DB03434
Q9BW91	DB02379
Q96AZ6	DB03685
P51161	DB02659
P32119	DB02153
Q16881	DB01169
Q99250	DB00193
Q9NY46	DB00252
P35499	DB00281
Q9UQD0	DB00252
O00408	DB02315
P62508	DB00197
P21964	DB00118
P11511	DB00184
P02675	DB04919
P02679	DB11300
P00736	DB00002
P02745	DB00002
P02746	DB00002
P02747	DB00002
P08637	DB00002
P12318	DB00002
P31994	DB00002
P31995	DB00002
P68133	DB02621
P31785	DB00004
O15230	DB06245
P05452	DB00031
P05787	DB00031
P07942	DB06245
P11047	DB06245
P25391	DB06245
P27797	DB00025
Q07954	DB00025
Q16787	DB06245
P05154	DB00013
P14543	DB00013
P13727	DB00020
P32927	DB00020
P34741	DB00020
O14832	DB00025
P07307	DB00025
P49257	DB00025
Q8NI22	DB00025
P01906	DB00071
P06400	DB00030
P16519	DB00071
P29120	DB00071
Q16270	DB00071
Q96C24	DB00071
P05981	DB00036
O14786	DB00039
P02461	DB00048
P11362	DB00039
P22607	DB00039
O95838	DB00040
P07711	DB03661
P23763	DB00042
P63027	DB00042
Q8N9I0	DB00042
Q01362	DB00043
P02458	DB00048
P08123	DB00048
P35237	DB00055
Q96LZ3	DB00091
P09486	DB11093
P35346	DB00104
P48147	DB01684
O94903	DB00114
P11216	DB00114
P20711	DB00114
Q2TU84	DB00114
Q53ET4	DB00114
Q59FK2	DB00114
Q59GM9	DB00114
Q59HE2	DB00114
Q5JAM2	DB00114
Q5VZ30	DB00114
Q6IBS8	DB00114
Q6P996	DB00114
Q6YP21	DB00114
Q6ZQY3	DB00114
Q8IUZ5	DB00114
Q8IVA8	DB00114
Q8TD30	DB00114
Q96EN8	DB00114
Q96GA7	DB00114
Q9BXA1	DB00114
Q9HD40	DB00114
Q9NUV7	DB00114
Q9UGI5	DB00114
Q9UJX1	DB00114
Q9Y4U1	DB00115
P42898	DB00115
Q96DP5	DB00116
O14939	DB00122
P06276	DB00122
Q13393	DB00122
Q8TCT1	DB00122
P09210	DB00143
O00469	DB00126
P19971	DB09343
O00519	DB00599
O60568	DB00126
P27338	DB00182
O75936	DB00126
P21397	DB00191
O14735	DB03106
P19021	DB00126
Q9HBH1	DB04310
Q32P28	DB00126
Q6N063	DB00126
P47989	DB00437
Q6NS38	DB00126
Q8IVL5	DB00126
P50750	DB03496
Q8IVL6	DB00126
Q8N543	DB00126
Q96KS0	DB00126
Q00534	DB03496
Q96Q83	DB00126
P00813	DB00552
Q9BY66	DB00126
P11802	DB02733
Q9GZT9	DB00126
P48544	DB00898
Q9H6Z9	DB00126
Q9NVH6	DB00126
P21452	DB06660
Q9NXG6	DB00126
P49336	DB03496
P22234	DB00128
Q00975	DB00381
P27708	DB00128
P30520	DB00128
Q6PI48	DB00128
Q7L266	DB00128
Q8N142	DB00128
Q96HD9	DB00128
O95190	DB00129
Q9UMX2	DB00129
O15067	DB00142
O75879	DB00142
P15104	DB00130
Q6IA69	DB00142
O95864	DB00132
Q9GZR5	DB00132
Q9H2M3	DB00134
Q07973	DB05024
P82251	DB00138
O14521	DB00139
O15460	DB00139
P21912	DB00139
P53597	DB00139
P55809	DB00139
Q99643	DB00139
Q9BXA5	DB00139
Q9BYC2	DB00139
Q9P2R7	DB00139
Q9UBX3	DB00139
O60512	DB00141
O60513	DB00141
O60909	DB00141
Q9UJ70	DB00141
Q9UK23	DB00141
O00341	DB00142
O14841	DB00142
O43424	DB00142
P48664	DB00142
Q07075	DB00142
Q5JPH6	DB00142
Q5TDP6	DB00142
Q8N159	DB00142
Q9H1K4	DB00142
Q9H936	DB00142
Q9ULA0	DB00142
Q9ULK0	DB00142
O14880	DB00143
O95881	DB00143
P08263	DB00143
P10620	DB00143
P10768	DB00143
P35754	DB00143
P46439	DB00143
P59796	DB00143
Q6NSD4	DB00143
Q8TED1	DB00143
Q96SL4	DB00143
Q99735	DB00143
Q9H4Y5	DB00143
Q9NS18	DB00143
P49619	DB00144
Q16760	DB00144
Q9BVG9	DB00144
Q9NXE4	DB00144
Q9NY59	DB00144
P23434	DB03187
Q14032	DB00145
Q14330	DB00145
Q6IB77	DB00145
Q8WU03	DB00145
Q969I3	DB00145
Q9P0Z9	DB00145
Q9UGM6	DB00150
Q9HA77	DB00151
Q6TGC4	DB00155
Q9ULC6	DB00155
Q9ULW8	DB00155
Q9Y2J8	DB00155
Q9BW92	DB00156
Q5JTZ9	DB00160
O75911	DB00162
Q6NUM9	DB00162
Q8TC12	DB00162
Q9HBH5	DB00162
Q9NYR8	DB00162
P23743	DB00163
P62714	DB00163
P67775	DB00163
O43766	DB00166
Q9NSE4	DB00167
Q8N0U8	DB00170
O43272	DB00172
O43447	DB00172
P23284	DB00172
P45877	DB00172
Q13427	DB00172
Q4W8W1	DB00172
Q7L3T8	DB00172
Q96EM0	DB00172
Q96I59	DB00174
O75899	DB00181
P36544	DB00122
Q14832	DB05096
Q9UGM1	DB00184
P18505	DB00231
P28472	DB00231
P47870	DB00231
P20618	DB00188
P28074	DB00188
P49721	DB08515
Q16774	DB01972
Q08493	DB00651
Q08289	DB00270
Q13698	DB00270
O00305	DB00393
O60840	DB00393
P54284	DB00393
Q01668	DB00270
P20815	DB09061
P10635	DB09061
P16435	DB03147
Q13547	DB01169
Q92769	DB00175
O15379	DB02546
Q9UBN7	DB02546
Q2M3G0	DB04851
P10092	DB12228
P29371	DB04872
P49356	DB04893
P49354	DB04893
Q16665	DB01136
P43115	DB00905
P51800	DB04552
P41146	DB00921
P42336	DB00171
P20292	DB04929
O00459	DB01064
Q92569	DB01064
P78527	DB00201
P42345	DB00337
Q00653	DB01296
A6PZ59	DB05209
P00441	DB00988
Q9Y6K9	DB04998
Q9NY47	DB00270
P09958	DB03600
O43525	DB00321
P56696	DB04953
Q9NR82	DB00996
P41231	DB04786
P08865	DB04985
